"","frequency","ip","country_code","country_name","region_code","region_name","city","zip_code","time_zone","latitude","longitude","metro_code"
"89",398,"103.41.124.48","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"90",180,"103.41.124.49","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"91",183,"103.41.124.50","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"92",270,"103.41.124.51","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"93",453,"103.41.124.53","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"94",357,"103.41.124.54","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"95",426,"103.41.124.55","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"96",267,"103.41.124.56","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"97",93,"103.41.124.57","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"98",630,"103.41.124.58","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"99",87,"103.41.124.59","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"100",351,"103.41.124.61","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"101",357,"103.41.124.62","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"102",258,"103.41.124.63","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"103",453,"103.41.124.64","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"104",270,"103.41.124.65","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"105",261,"103.41.124.88","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"106",536,"103.41.124.89","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"107",357,"103.41.124.90","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"108",262,"103.41.124.91","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"109",90,"103.41.124.92","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"110",258,"103.41.124.93","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"111",456,"103.41.124.94","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"112",9156,"103.41.125.100","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"113",180,"103.41.125.101","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"114",717,"103.41.125.102","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"115",348,"103.41.125.103","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"116",177,"103.41.125.104","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"117",891,"103.41.125.111","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"118",543,"103.41.125.112","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"119",6673,"103.41.125.113","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"120",699,"103.41.125.12","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"121",366,"103.41.125.14","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"122",1074,"103.41.125.15","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"123",876,"103.41.125.16","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"124",369,"103.41.125.17","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"125",897,"103.41.125.18","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"126",531,"103.41.125.20","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"127",702,"103.41.125.21","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"128",537,"103.41.125.22","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"129",540,"103.41.125.24","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"130",1265,"103.41.125.25","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"131",540,"103.41.125.26","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"132",741,"103.41.125.27","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"133",503,"103.41.125.29","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"134",540,"103.41.125.30","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
"135",192,"103.41.125.31","HK","Hong Kong","","","Central District","","Asia/Hong_Kong","22.283","114.15","0"
